"state_name","lg_dist_code","district_name","micro","small","medium","total","last_updated"
"ANDHRA PRADESH","745","Alluri Sitharama Raju","1405","8","NA","1413","2023-08-27"
"ANDHRA PRADESH","744","Anakapalli","7780","89","4","7873","2023-08-27"
"ANDHRA PRADESH","502","ANANTHAPUR","39107","966","56","40129","2023-08-27"
"ANDHRA PRADESH","753","Annamayya","9496","101","3","9600","2023-08-27"
"ANDHRA PRADESH","750","Bapatla","8343","104","3","8450","2023-08-27"
"ANDHRA PRADESH","503","CHITOOR","31898","1026","63","32987","2023-08-27"
"ANDHRA PRADESH","505","EAST GODAVARI","40051","1817","180","42048","2023-08-27"
"ANDHRA PRADESH","748","Eluru","11155","164","5","11324","2023-08-27"
"ANDHRA PRADESH","506","GUNTUR","42206","2531","245","44982","2023-08-27"
"ANDHRA PRADESH","746","Kakinada","11251","178","9","11438","2023-08-27"
"ANDHRA PRADESH","747","Konaseema","9795","149","8","9952","2023-08-27"
"ANDHRA PRADESH","510","KRISHNA","47841","2599","227","50667","2023-08-27"
"ANDHRA PRADESH","511","KURNOOL","33359","1024","64","34447","2023-08-27"
"ANDHRA PRADESH","755","Nandyal","10335","116","3","10454","2023-08-27"
"ANDHRA PRADESH","749","NTR","13741","246","13","14000","2023-08-27"
"ANDHRA PRADESH","751","Palnadu","9410","146","2","9558","2023-08-27"
"ANDHRA PRADESH","743","Parvathipuram Manyam","2204","33","NA","2237","2023-08-27"
"ANDHRA PRADESH","517","PRAKASAM","28053","976","61","29090","2023-08-27"
"ANDHRA PRADESH","515","SPSR NELLORE","32225","1242","93","33560","2023-08-27"
"ANDHRA PRADESH","754","Sri Sathya Sai","10452","96","2","10550","2023-08-27"
"ANDHRA PRADESH","519","SRIKAKULAM","17754","589","23","18366","2023-08-27"
"ANDHRA PRADESH","752","Tirupati","13024","150","9","13183","2023-08-27"
"ANDHRA PRADESH","520","VISAKHAPATNAM","43708","2247","232","46187","2023-08-27"
"ANDHRA PRADESH","521","VIZIANAGARAM","16158","455","27","16640","2023-08-27"
"ANDHRA PRADESH","523","WEST GODAVARI","37124","1971","199","39294","2023-08-27"
"ANDHRA PRADESH","504","Y.S.R","27092","870","35","27997","2023-08-27"
"ARUNACHAL PRADESH","628","ANJAW","68","NA","NA","68","2023-08-27"
"ARUNACHAL PRADESH","229","CHANGLANG","534","14","NA","548","2023-08-27"
"ARUNACHAL PRADESH","230","DIBANG VALLEY","56","1","NA","57","2023-08-27"
"ARUNACHAL PRADESH","231","EAST KAMENG","148","5","NA","153","2023-08-27"
"ARUNACHAL PRADESH","232","EAST SIANG","522","15","NA","537","2023-08-27"
"ARUNACHAL PRADESH","718","KAMLE","71","NA","NA","71","2023-08-27"
"ARUNACHAL PRADESH","677","KRA DAADI","79","1","NA","80","2023-08-27"
"ARUNACHAL PRADESH","233","KURUNG KUMEY","100","1","NA","101","2023-08-27"
"ARUNACHAL PRADESH","724","LEPARADA","86","NA","NA","86","2023-08-27"
"ARUNACHAL PRADESH","234","LOHIT","383","13","NA","396","2023-08-27"
"ARUNACHAL PRADESH","666","LONGDING","94","3","NA","97","2023-08-27"
"ARUNACHAL PRADESH","235","LOWER DIBANG VALLEY","295","5","NA","300","2023-08-27"
"ARUNACHAL PRADESH","719","LOWER SIANG","85","3","NA","88","2023-08-27"
"ARUNACHAL PRADESH","236","LOWER SUBANSIRI","721","8","1","730","2023-08-27"
"ARUNACHAL PRADESH","678","NAMSAI","350","3","NA","353","2023-08-27"
"ARUNACHAL PRADESH","723","PAKKE KESSANG","24","NA","NA","24","2023-08-27"
"ARUNACHAL PRADESH","237","PAPUM PARE","3084","122","15","3221","2023-08-27"
"ARUNACHAL PRADESH","725","SHI YOMI","26","NA","NA","26","2023-08-27"
"ARUNACHAL PRADESH","679","SIANG","68","1","1","70","2023-08-27"
"ARUNACHAL PRADESH","238","TAWANG","313","8","1","322","2023-08-27"
"ARUNACHAL PRADESH","239","TIRAP","125","4","NA","129","2023-08-27"
"ARUNACHAL PRADESH","240","UPPER SIANG","82","4","NA","86","2023-08-27"
"ARUNACHAL PRADESH","241","UPPER SUBANSIRI","239","6","NA","245","2023-08-27"
"ARUNACHAL PRADESH","242","WEST KAMENG","638","16","NA","654","2023-08-27"
"ARUNACHAL PRADESH","243","WEST SIANG","313","11","NA","324","2023-08-27"
"ASSAM","739","BAJALI","860","7","NA","867","2023-08-27"
"ASSAM","616","BAKSA","5321","33","3","5357","2023-08-27"
"ASSAM","280","BARPETA","13892","187","8","14087","2023-08-27"
"ASSAM","705","Biswanath","5049","71","2","5122","2023-08-27"
"ASSAM","281","BONGAIGAON","5303","132","9","5444","2023-08-27"
"ASSAM","282","CACHAR","20710","336","21","21067","2023-08-27"
"ASSAM","708","CHARAIDEO","2992","45","1","3038","2023-08-27"
